,name,country_code,pct_agreement_w_usa,pct_agreement_w_china,pct_agreement_w_russia,cluster,period,pct_agreement_w_cccp
161,SINGAPORE,SGP,44.21,78.88,73.52,1,1946-2025,
162,SOLOMON ISLANDS,SLB,35.79,58.48,55.54,1,1946-2025,
163,SIERRA LEONE,SLE,39.59,72.5,69.72,1,1946-2025,
164,EL SALVADOR,SLV,47.71,70.23,65.37,1,1946-2025,
165,SOMALIA,SOM,29.16,57.02,55.78,1,1946-2025,
166,SERBIA,SRB,58.35,68.23,77.15,1,1946-2025,
167,SAO TOME AND PRINCIPE,STP,19.75,50.81,50.54,1,1946-2025,
168,USSR,SUN,33.99,71.77,100.0,1,1946-2025,
169,SURINAM,SUR,39.19,76.36,71.22,1,1946-2025,
170,SWAZILAND,SWZ,35.78,61.22,57.96,1,1946-2025,
171,SEYCHELLES,SYC,19.93,46.57,45.4,1,1946-2025,
172,SYRIA,SYR,32.51,78.99,77.0,1,1946-2025,
173,CHAD,TCD,36.08,63.92,61.47,1,1946-2025,
174,TOGO,TGO,43.28,77.72,75.29,1,1946-2025,
175,THAILAND,THA,47.93,80.62,76.46,1,1946-2025,
176,TAJIKISTAN,TJK,38.33,65.84,64.9,1,1946-2025,
177,TURKMENISTAN,TKM,24.73,54.31,49.63,1,1946-2025,
178,TIMOR-LESTE,TLS,47.52,72.43,68.29,1,1946-2025,
179,TRINIDAD AND TOBAGO,TTO,42.69,78.71,74.91,1,1946-2025,
180,TUNISIA,TUN,42.71,81.33,77.53,1,1946-2025,
181,TÜRKIYE,TUR,58.17,73.52,70.91,1,1946-2025,
182,UNITED REPUBLIC OF TANZANIA,TZA,36.74,78.68,75.86,1,1946-2025,
183,UGANDA,UGA,35.66,73.49,72.43,1,1946-2025,
184,UKRAINE,UKR,46.45,69.31,86.98,1,1946-2025,
185,URUGUAY,URY,53.21,75.03,72.47,1,1946-2025,
186,UZBEKISTAN,UZB,38.75,57.77,58.16,1,1946-2025,
187,SAINT VINCENT AND THE GRENADINES,VCT,32.4,62.57,57.39,1,1946-2025,
188,VENEZUELA (BOLIVARIAN REPUBLIC OF),VEN,42.92,75.21,72.69,1,1946-2025,
189,VIET NAM,VNM,29.09,82.38,79.99,1,1946-2025,
190,VANUATU,VUT,37.26,56.08,55.34,1,1946-2025,
191,SAMOA,WSM,44.93,63.55,62.27,1,1946-2025,
192,YEMEN,YEM,35.63,77.35,74.8,1,1946-2025,
193,DEMOCRATIC YEMEN,YMD,29.76,75.03,86.46,1,1946-2025,
194,YUGOSLAVIA,YUG,35.08,62.17,70.96,1,1946-2025,
195,SOUTH AFRICA,ZAF,29.49,47.53,39.44,1,1946-2025,
196,ZAMBIA,ZMB,39.64,78.57,76.05,1,1946-2025,
197,ZIMBABWE,ZWE,31.95,79.8,74.04,1,1946-2025,
198,DOMINICA,DMA,21.01,36.27,32.85,2,1946-2025,
199,ZANZIBAR,EAZ,0.0,0.0,0.0,2,1946-2025,
200,KIRIBATI,KIR,32.33,28.91,25.0,2,1946-2025,
201,SOUTH SUDAN,SSD,26.15,28.62,29.65,2,1946-2025,
0,CENTRAL AFRICAN REPUBLIC,CAF,25.61,46.93,41.19,0,1991-2025,
1,DEMOCRATIC REPUBLIC OF THE CONGO,COD,24.71,38.88,33.39,0,1991-2025,
2,COMOROS,COM,28.88,60.49,50.72,0,1991-2025,
3,DOMINICA,DMA,28.05,44.95,41.85,0,1991-2025,
4,GAMBIA,GMB,32.69,58.37,50.44,0,1991-2025,
5,EQUATORIAL GUINEA,GNQ,24.97,38.7,34.54,0,1991-2025,
6,IRAQ,IRQ,29.1,63.3,52.19,0,1991-2025,
7,KIRIBATI,KIR,32.33,28.91,25.0,0,1991-2025,
8,SAINT KITTS AND NEVIS,KNA,34.66,48.54,41.97,0,1991-2025,
9,LIBERIA,LBR,36.95,45.33,38.53,0,1991-2025,
10,NAURU,NRU,33.01,32.81,29.9,0,1991-2025,
11,PALAU,PLW,51.94,30.06,30.83,0,1991-2025,
12,RWANDA,RWA,29.49,45.15,40.58,0,1991-2025,
13,SOMALIA,SOM,16.26,39.51,34.72,0,1991-2025,
14,SOUTH SUDAN,SSD,26.15,28.62,29.65,0,1991-2025,
15,SAO TOME AND PRINCIPE,STP,16.58,31.99,27.17,0,1991-2025,
16,SWAZILAND,SWZ,35.62,60.55,52.26,0,1991-2025,
17,SEYCHELLES,SYC,27.78,39.2,34.31,0,1991-2025,
18,CHAD,TCD,30.95,53.7,45.71,0,1991-2025,
19,TURKMENISTAN,TKM,24.73,54.31,49.63,0,1991-2025,
20,TONGA,TON,37.09,46.13,43.21,0,1991-2025,
21,TUVALU,TUV,42.41,46.16,42.78,0,1991-2025,
22,VANUATU,VUT,45.81,51.16,46.35,0,1991-2025,
23,YUGOSLAVIA,YUG,11.89,15.62,17.61,0,1991-2025,
24,ALBANIA,ALB,65.27,55.54,63.23,1,1991-2025,
